;Número correlativo;Año;Nombre de Servicio;Ministerio;Codigo_de_Actividad_Ejecutada;Codigo_de_Actividad_Planificada;Nombred_del_la_Actividad;Especialidad_de_la_Actividad;Categoría_de_la_Actividad;Numero_de_Participantes;Numero_de_Horas;Tipo_de_Actividad;Estado_de_Actividad;Modalidad_de_Compra;Actividad_Planificada;Jornada;Proveedor;Region_de_Ejecucion_de_la_Actividad;Programa;Objetivo_Global;Objetivo_de_Gestion;Gasto_monto_Item001;Gasto_monto_Item002;Gasto_monto_Item003;Evaluaciones_Realizadas;Evaluación_de_Reacción;Metodología_de_Aprendizaje;Fecha_de_inicio;Fecha_de_Término;Fecha_de_Ingreso_Sistema
54270;2335.0;2016;Secretaría y Administración General del Ministerio de Minería;Minería;34101.0;39561.0;MEDIACIÓN, FACILITACIÓN, NEGOCIACIÓN;;;3.0;32.0;Taller;Terminada;Contratación Directa;Si;Completa;EDGAR CHRISTOPH DORIG;Región Metropolitana de Santiago;;;;4200000.0;0.0;0.0;Sin evaluación;Muy Buena;Presencial;2016-05-16;2016-05-19;2017-02-17
54271;2341.0;2016;Superintendencia de Salud;Salud;34165.0;;DIPLOMA POSTITULO EN DERECHO LABORAL ADMINISTRATIVO Y SANCIONATORIO;;;2.0;90.0;Diplomado;Terminada;Contratación Directa;No;Vespertino;Universidad de Chile-IDIEM;Región Metropolitana de Santiago;;;;1076500.0;0.0;0.0;;Sin Evaluación;Presencial;2016-09-09;2016-12-15;2017-02-17
54272;2342.0;2016;Superintendencia de Salud;Salud;34181.0;;DIPLOMADO GESTIÓN EN SALUD;;;1.0;120.0;Diplomado;Terminada;Contratación Directa;No;Mañana;Universidad de Santiago de Chile - Facultad de Administración y Economía;Región Metropolitana de Santiago;;;;700000.0;0.0;0.0;Sin evaluación;Sin Evaluación;Presencial;2016-07-23;2016-12-17;2017-02-17
54273;2343.0;2016;Instituto de Desarrollo Agropecuario INDAP;Agricultura;34201.0;39662.0;ANALISIS DEL IMPACTO ECONOMICO DE LOS MERCADOS CAMPESINOS ;;;12.0;16.0;Curso;Terminada;Contratación Directa;Si;Completa;Universidad del Bío-Bio;Nivel Central;Programa Nivel Central;;;3500000.0;0.0;0.0;;Muy Buena;Presencial;2016-08-30;2016-08-31;2017-02-17
54274;2345.0;2016;Superintendencia de Salud;Salud;34221.0;;Diplomado en Gestión de Abastecimientos;;;1.0;88.0;Diplomado;Terminada;Contratación Directa;No;Vespertino;UNIVERSIDAD CENTRAL DE CHILE;Región Metropolitana de Santiago;;;;400000.0;0.0;0.0;;Sin Evaluación;;2016-09-09;2016-12-31;2017-02-17
54275;2346.0;2016;Superintendencia de Salud;Salud;34222.0;;Curso de Ingles;;;1.0;33.0;Curso;Terminada;Contratación Directa;No;Tarde;INSTITUTO CHILENO BRITANICO DE CULTURA;Región Metropolitana de Santiago;;;;200000.0;0.0;0.0;;Sin Evaluación;;2016-09-26;2016-12-31;2017-02-17
54276;2349.0;2016;Instituto de Desarrollo Agropecuario INDAP;Agricultura;34281.0;39741.0;PARTICIPACION CIUDADANA Y GESTION PUBLICA;;;15.0;16.0;Curso;Terminada;Contratación Directa;Si;Completa;Sociedad de Análisis de Redes Sociales Chile Ltda;;Programa Nivel Central;;;4000000.0;0.0;0.0;;Muy Buena;Presencial;2016-10-19;2016-10-20;2017-02-17
54277;2353.0;2016;Instituto de Desarrollo Agropecuario INDAP;Agricultura;34341.0;39824.0;TALLER EVALUACION DE PROYECTOS AGROPECUARIOS CON USO DE TECNOLOGIAS DE INFORMACION;;;12.0;40.0;Taller;Terminada;Contratación Directa;Si;Completa;Universidad del Bío-Bio;Nivel Central;Programa Nivel Central;;;4000000.0;0.0;0.0;;Muy Buena;Presencial;2016-08-09;2016-08-12;2017-02-17
54278;2354.0;2016;Instituto de Desarrollo Agropecuario INDAP;Agricultura;34361.0;39823.0;PRACTICAS AGROAMBIENTALES;;;16.0;16.0;Curso;Terminada;Contratación Directa;Si;Completa;ASAGRIN CAPACITA SPA ;Región del Libertador General Bernardo O’Higgins;Programa Regional;;;2500000.0;0.0;0.0;;Muy Buena;Presencial;2016-11-21;2016-11-22;2017-02-17
54279;2359.0;2016;Instituto de Desarrollo Agropecuario INDAP;Agricultura;34422.0;39923.0;TALLER INDUCCION MANEJO DE TECNICAS COMUNICACION DE LOGROS;;;0.0;8.0;Taller;Terminada;Contratación Directa;Si;Completa;Sergio Campos Ulloa;Nivel Central;Programa Nivel Central;;;800000.0;0.0;0.0;Sin evaluación;Muy Buena;Presencial;2016-08-31;2016-08-31;2017-02-17
54280;2360.0;2016;Instituto de Desarrollo Agropecuario INDAP;Agricultura;34423.0;39941.0;PLANIFICACION RURAL CON ENFOQUE TERRITORIAL ;;;104.0;24.0;Curso;Terminada;Contratación Directa;Si;Completa;Instituto Interamericano de Cooperación para la Agricultura, IICA, Uruguay;Región de La Araucanía;Programa Regional;;;10000000.0;0.0;0.0;;Buena;Presencial;2016-08-09;2016-09-15;2017-02-17
