;Número correlativo;Año;Nombre de Servicio;Ministerio;Codigo_de_Actividad_Ejecutada;Codigo_de_Actividad_Planificada;Nombred_del_la_Actividad;Especialidad_de_la_Actividad;Categoría_de_la_Actividad;Numero_de_Participantes;Numero_de_Horas;Tipo_de_Actividad;Estado_de_Actividad;Modalidad_de_Compra;Actividad_Planificada;Jornada;Proveedor;Region_de_Ejecucion_de_la_Actividad;Programa;Objetivo_Global;Objetivo_de_Gestion;Gasto_monto_Item001;Gasto_monto_Item002;Gasto_monto_Item003;Evaluaciones_Realizadas;Evaluación_de_Reacción;Metodología_de_Aprendizaje;Fecha_de_inicio;Fecha_de_Término;Fecha_de_Ingreso_Sistema
55061;558.0;2017;Subsecretaría de Salud Pública;Salud;63121.0;;EXCEL INTERMEDIO;;;12.0;24.0;Curso;Terminada;Convenio Marco;No;Mañana;Edutecno;Nivel Central;;;;1036800.0;0.0;0.0;;Sin Evaluación;Presencial;2017-04-25;2017-05-11;2017-05-12
56892;9506.0;2017;Subsecretaría de Prevención del Delito;Interior y Seguridad Pública;205701.0;;Control de Gestion;;;2.0;0.0;;Terminada;Convenio Marco;No;;ECLASS LTDA;;;;;752400.0;0.0;0.0;;Muy Buena;;2017-08-09;2017-12-18;2018-02-09
63029;298.0;2017;JUNJI Dirección Regional de Antofagasta;Educación;57021.0;;Perfil Censista: Censo 2017 DR;;;16.0;4.0;Taller;Terminada;Sin costo;No;Tarde;Junta Nacional de Jardines Infantiles;Región de Antofagasta;;;;0.0;0.0;0.0;Sin evaluación;Excelente;Presencial;2017-03-29;2017-03-29;2017-04-07
63030;299.0;2017;JUNJI Dirección Regional de Antofagasta;Educación;57041.0;;PERFIL CENSISTA: CENSO 2017 CARACOLITO;;;16.0;4.0;Taller;Terminada;Sin costo;No;Mañana;Junta Nacional de Jardines Infantiles;Región de Antofagasta;;;;0.0;0.0;0.0;Sin evaluación;Excelente;Presencial;2017-03-16;2017-03-16;2017-04-07
63031;300.0;2017;Caja de Previsión de la Defensa Nacional CAPREDENA;Defensa Nacional;57061.0;48946.0;CRITERIOS DE EVALUACIÓN DE COMPRAS;;;10.0;22.0;Curso;Terminada;Convenio Marco;Si;Completa;SERVICIOS PROFESIONALES DE CAPACITACIÓN LTDA.;Región Metropolitana de Santiago;;;;2064000.0;0.0;0.0;;Muy Buena;Presencial;2017-03-28;2017-04-06;2017-04-07
63032;301.0;2017;JUNJI Dirección Regional de Antofagasta;Educación;57062.0;;Perfil Censista: Censo 2017 Girasol;;;32.0;4.0;Taller;Terminada;Sin costo;No;Mañana;Junta Nacional de Jardines Infantiles;Región de Antofagasta;;;;0.0;0.0;0.0;Sin evaluación;Excelente;Presencial;2017-03-17;2017-03-17;2017-04-07
63033;302.0;2017;JUNJI Dirección Regional de Antofagasta;Educación;57081.0;;Perfil Censista: Censo 2017;;;33.0;4.0;Taller;Terminada;Sin costo;No;Tarde;Junta Nacional de Jardines Infantiles;Región de Antofagasta;;;;0.0;0.0;0.0;Sin evaluación;Excelente;Presencial;2017-03-17;2017-03-17;2017-04-07
63034;303.0;2017;JUNJI Dirección Regional de Antofagasta;Educación;57101.0;;Perfil Censista: Censo 2017 Gaviotas;;;22.0;4.0;Taller;Terminada;Sin costo;No;Tarde;Junta Nacional de Jardines Infantiles;Región de Antofagasta;;;;0.0;0.0;0.0;Sin evaluación;Excelente;Presencial;2017-03-16;2017-03-16;2017-04-07
63035;304.0;2017;Subsecretaría de Economía y Empresas de Menor Tamaño;Economía, Fomento y Turismo;57121.0;;CENSO PARA CAPACITADORES;;;35.0;4.0;Curso;Terminada;Sin costo;No;Tarde;Instituto Nacional de Estadísticas;Nivel Central;;;;0.0;0.0;0.0;Sin evaluación;Sin Evaluación;;2017-03-27;2017-03-27;2017-04-07
63036;305.0;2017;Dirección de Vialidad;Obras Públicas;57141.0;64361.0;SISTEMA DE SEGUIMIENTO DE DOCUMENTOS NIVEL I;;;16.0;4.0;Curso;Terminada;Sin costo;Si;Tarde;Patricia Guajardo Contreras;Nivel Central;Heidy Manriquez Llanos;;Ciencias, Normas y Técnicas Aplicadas al Servicio;0.0;0.0;0.0;Sin evaluación;Sin Evaluación;Presencial;2017-04-10;2017-04-10;2017-04-07
